Name,Estimate,Census,Percent,Color
Houston,2325502.00,2099451.00,0.1077,A04428
San Antonio,1532233.00,1327407.00,0.139,A04428
Dallas,1345047.00,1197816.00,0.1229,A04428
Austin,964254.00,790390.00,0.22,A04428
Fort Worth,895008.00,741206.00,0.2075,A04428
El Paso,682669.00,649121.00,0.0517,A04428
Arlington,398123.00,365438.00,0.0847,A04428
Corpus Christi,326554.00,305215.00,0.0668,A04428
Plano,288061.00,259841.00,0.1012,A04428
Laredo,261639.00,236091.00,0.104,A04428
Lubbock,255885.00,229573.00,0.1059,A04428
Garland,242507.00,226876.00,0.049,A04428
Irving,242242.00,216290.00,0.12,A04428
Amarillo,199924.00,190695.00,0.0479,A04428
Grand Prairie,194614.00,175396.00,0.1096,A04428
McKinney,191645.00,131117.00,0.462,A04428
Frisco,188170.00,116989.00,0.608,A04428
Brownsville,183392.00,175023.00,0.048,A04428
Pasadena,153219.00,149043.00,0.028,A04428
Killeen,149103.00,127921.00,0.166,A04428
McAllen,143433.00,130242.00,0.0956,A04428
Mesquite,142816.00,139824.00,0.0295,A04428
Midland,142344.00,111147.00,0.2244,A04428
Denton,138541.00,113383.00,0.222,A04428
Waco,138183.00,124805.00,0.1072,A04428
Carrollton,135710.00,119097.00,0.1495,A04428
Round Rock,128739.00,99887.00,0.289,A04428
Odessa,123334.00,99940.00,0.235,A04428
Abilene,122999.00,117063.00,0.0412,A04428
Pearland,122149.00,91252.00,0.3144,A04428
Richardson,120981.00,99223.00,0.2193,A04428
Sugar Land,118600.00,78817.00,0.5048,A04428
Beaumont,118428.00,"117,267[4]",0.0158,A04428
The Woodlands (CDP)[5],116278.00,93847.00,0.239,A04428
College Station,116218.00,93857.00,0.2382,A04428
Lewisville,106586.00,95290.00,0.1126,A04428
League City,106244.00,83560.00,0.2554,A04428
Tyler,105729.00,96500.00,0.088,A04428
Wichita Falls,104576.00,104553.00,0.0019,A04428
Allen,103383.00,84246.00,0.1951,A04428
San Angelo,100215.00,93200.00,0.0742,A04428
Edinburg,98665.00,77100.00,0.1709,A04428
Conroe,87654.00,56207.00,0.5012,A04428
Bryan,85445.00,76201.00,0.1026,A04428
Mission,84827.00,77058.00,0.0956,A04428
New Braunfels,84612.00,57740.00,0.3708,A04428
Longview,81647.00,80455.00,0.0133,A04428
Pharr,79707.00,70400.00,0.1291,A04428
Flower Mound,77329.00,64669.00,0.1857,A04428
Baytown,77024.00,71802.00,0.0697,A04428
Cedar Park,76999.00,48937.00,0.5734,A04428
Temple,76256.00,66102.00,0.1271,A04428
Atascocita (CDP),75114.00,65844.00,0.1408,A04428
Missouri City,74705.00,67358.00,0.106,A04428
Georgetown,74180.00,47400.00,0.4912,A04428
North Richland Hills,70836.00,63343.00,0.1121,A04428
Mansfield,70981.00,56368.00,0.2228,A04428
Victoria,67015.00,62592.00,0.0721,A04428
Rowlett,66285.00,56199.00,0.1187,A04428
Harlingen,65436.00,64849.00,0.0095,A04428
Pflugerville,64431.00,46936.00,0.3499,A04428
San Marcos,63509.00,44894.00,0.4049,A04428
Spring (CDP),57932.00,54298.00,0.0669,A04428
Euless,57346.00,51277.00,0.076,A04428
Port Arthur,55018.00,53818.00,0.0312,A04428
Grapevine,53976.00,46334.00,0.1651,A04428
DeSoto,53523.00,49047.00,0.0922,A04428
Galveston,50457.00,47743.00,0.0577,A04428
